Grantor,Grantee,grantee_clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,GILL/KARDASH PARTNERSHIP,Gill/kardash Partnership,21061,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MD ECONOMIC DEVELOPMENT ASSISTANCE FUND-CAPITAL,"HIGH PERFORMANCE HOME, LLC","High Performance Home, Llc",21776,2020,50000,SMALL BUSINESS RELIEF COVID19 EMERGENCY LOAN,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,VISIT HARFORD,Visit Harford,21014,2020,195430,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,COUNTY COMMISSIONERS OF QUEEN ANNE,County Commissioners Of Queen Anne,21617,2020,56902,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,TOURISM COUNCIL OF FREDERICK,Tourism Council Of Frederick,21701,2020,252902,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,PRINCE GEORGES COUNTY CONFERENCE AND VISITORS BUREAU (CVB),Prince Georges County Conference And Visitors Bureau (cvb),20774,2020,511894,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,VISIT BALTIMORE,Visit Baltimore,21202,2020,731155,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,"CONFERENCE AND VISITORS BUREAU (CVB) OF MONTGOMERY, MD, INC","Conference And Visitors Bureau (cvb) Of Montgomery, Md, Inc",20850,2020,215280,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,ANNAPOLIS & ANNE ARUNDEL CO,Annapolis & Anne Arundel Co,21401,2020,154138,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,WASHINGTON COUNTY CONVENTION,Washington County Convention,21740,2020,148244,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,CAPITAL REGION USA INC,Capital Region Usa Inc.,21601,2020,800000,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,HISTORIC SHIPS IN BALTIMORE,Historic Ships In Baltimore,21202,2020,500000,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,TOWN OF OCEAN CITY,Town Of Ocean City,21843,2020,373225,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,COUNTY COMMISSIONERS OF CARROLL,County Commissioners Of Carroll County,21157,2020,100586,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,CHARLES COUNTY COUNTY COMMISSIONERS,Charles County Commissioners,20646,2020,55583,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,DORCHESTER COUNTY MARYLAND,Dorchester County Maryland,21613,2020,73187,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,KENT COUNTY BOARD OF LICENSE COMMISSIONERS,Kent County Board Of License Commissioners,21620,2020,90807,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,SOMERSET COUNTY TOURISM,Somerset County Tourism,21853,2020,71828,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,TALBOT COUNTY MARYLAND,Talbot County Maryland,21601,2020,92877,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,WICOMICO COUNTY MARYLAND,Wicomico County Maryland,21804,2020,193343,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,WORCESTER COUNTY,Worcester County,21863,2020,294033,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND TOURISM BOARD,CALVERT COUNTY COMMISSIONER,Calvert County Commissioner,20678,2020,72312,MARYLAND TOURISM BOARD GRANT,Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,CHESAPEAKE SHAKESPEARE COMPANY,Chesapeake Shakespeare Company,21202,2020,140500,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,ANNAPOLIS SYMPHONY ORCHESTRA,Annapolis Symphony Orchestra,21401,2020,151839,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,SALISBURY WICOMICO ARTS COUNCIL,Salisbury Wicomico Arts Council,21803,2020,137227,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,WASHINGTON COUNTY ARTS COUNCIL,Washington County Arts Council,21740,2020,139992,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,WARD FOUNDATION INC,"Ward Foundation, Inc.",21804,2020,96502,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,ST MARYS COLLEGE OF MARYLAND,St Marys College Of Maryland,20686,2020,55004,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,DORCHESTER CENTER FOR THE ARTS,Dorchester Center For The Arts,21613,2020,133103,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,GREATER BALTIMORE CULTURAL ALLIANCE,Greater Baltimore Cultural Alliance,21201,2020,90606,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,MARYLAND OPERA INC,Maryland Opera Inc,21218,2020,8912,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,GLEN ECHO PARK PARTNERSHIP,Glen Echo Park Partnership,20812,2020,178727,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,INTERACT STORY THEATRE EDUCATION,Interact Story Theatre Education,20902,2020,159680.5,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,MARYLAND INSTITUTE COLLEGE,Maryland Institute College,21217,2020,309756,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,WASHINGTON COUNTY MUSEUM OF FINE ARTS,Washington County Museum Of Fine Arts,21741,2020,133305,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,JEWISH COMMUNITY OF BALTIMORE,Jewish Community Of Baltimore,21215,2020,71098,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,BALTIMORE SYMPHONY ORCHESTRA,Baltimore Symphony Orchestra,21201,2020,1577598,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,YOUNG AUDIENCES OF MARYLAND,Young Audiences Of Maryland,21218,2020,652156.29,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,CENTERSTAGE,Centerstage,21202,2020,645065,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,NATIONAL COUNCIL FOR THE TRADITIONAL ARTS,National Council For The Traditional Arts,20910,2020,50191,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,MONTGOMERY COLLEGE,Montgomery College,20850,2020,51449,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,MARYLAND YOUTH BALLET,Maryland Youth Ballet,20910,2020,92958,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,ALLEGANY ARTS COUNCIL,Allegany Arts Council,21502,2020,152861,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,CARROLL CO ARTS COUNCIL,Carroll Co Arts Council,21157,2020,146856,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,DANCE EXCHANGE INC,"Dance Exchange, Inc.",20912,2020,73040,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,THE WRITERS CENTER,The Writer's Center,20815,2020,92906,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,WORCESTER COUNTY ARTS COUNCIL,Worcester County Arts Council,21811,2020,136252,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,ARTS & HUMANITIES COUNCIL,Arts & Humanities Council,20910,2020,192216,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,CAROLINE COUNTY COUNCIL OF ARTS,Caroline County Council Of Arts,21629,2020,148179,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,CECIL COUNTY ARTS COUNCIL,Cecil County Arts Council,21921,2020,137206,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,FREDERICK ARTS COUNCIL INC,"Frederick Arts Council, Inc.",21701,2020,201057,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,OLNEY THEATRE CENTER,Olney Theatre Center,20832,2020,423747,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,BALLET THEATRE OF MARYLAND,Ballet Theatre Of Maryland,21401,2020,69272,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,QUEEN ANNES ARTS COUNCIL,Queen Anne's Arts Council,21617,2020,134161,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,MARYLAND HALL FOR THE CREATIVE ARTS,Maryland Hall For The Creative Arts,21401,2020,189332,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,IMAGINATION STAGE INC,"Imagination Stage, Inc.",20814,2020,363873,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,GARRETT COUNTY ARTS COUNCIL,Garrett County Arts Council,21550,2020,152939,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,HOWARD COUNTY CENTER FOR THE ARTS,Howard County Center For The Arts,21043,2020,159970,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,SANDY SPRING MUSEUM INC,Sandy Spring Museum Inc,20860,2020,64535,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,STRATHMORE HALL FOUNDATION,Strathmore Hall Foundation,20852,2020,954936,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,KENT COUNTY ARTS COUNCIL,Kent County Arts Council,21620,2020,132373,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,MARYLAND SYMPHONY ORCHESTRA,Maryland Symphony Orchestra,21740,2020,119039,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,ROUND HOUSE THEATRE INC,Round House Theatre Inc,20824,2020,322785,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,PRINCE GEORGES ARTS AND HUM,Prince Georges Arts And Hum,20774,2020,183918,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,NATIONAL PHILHARMONIC ORCHESTRA,National Philharmonic Orchestra,20852,2020,169863,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,ART LEAGUE OF OCEAN CITY,Art League Of Ocean City,21842,2020,74885,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,BALTIMORE CLAYWORKS INC,"Baltimore Clayworks, Inc.",21209,2020,70713,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,ST MARY'S COUNTY ARTS COUNCIL,St. Mary's County Arts Council,20650,2020,137776,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,THE DELAPLAINE ARTS CENTER,The Delaplaine Arts Center,21701,2020,62312,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,TALBOT COUNTY ARTS COUNCIL,Talbot County Arts Council,21601,2020,133391,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,CHARLES COUNTY ARTS ALLIANCE,Charles County Arts Alliance,20695,2020,140604,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,THE MARYLAND STATE BOYCHOIR,The Maryland State Boychoir,21213,2020,57684,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,METROPOLITAN CENTER FOR THE VISUAL ARTS,Metropolitan Center For The Visual Arts,20850,2020,107118,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,BALTIMORE FESTIVAL OF THE ARTS,Baltimore Festival Of The Arts,21202,2020,450720,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,THE EVERYMAN THEATRE INC,The Everyman Theatre Inc,21201,2020,274560,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,ARTS COUNCIL OF CALVERT COUNTY,Arts Council Of Calvert County,20678,2020,136579,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,AMERICAN VISIONARY ART MUSEUM,American Visionary Art Museum,21230,2020,222498,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,MARYLAND CITIZENS FOR THE ARTS,Maryland Citizens For The Arts,21217,2020,98445,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,SOMERSET COUNTY ARTS COUNCIL,Somerset County Arts Council,21817,2020,132737,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,WORLD ARTS FOCUS INC,World Arts Focus Inc,20712,2020,104280,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,ARTS COUNCIL OF ANNE ARUNDEL,Arts Council Of Anne Arundel,21401,2020,414614,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,PRODUCERS CLUB OF MARYLAND,Producers Club Of Maryland,21203,2020,75735,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,AVALON FOUNDATION INC,"Avalon Foundation, Inc.",21601,2020,133544,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,CREATIVE ALLIANCE INC,"Creative Alliance, Inc.",21224,2020,178757,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,MARYLAND ENSEMBLE THEATRE,Maryland Ensemble Theatre,21701,2020,69629,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
MARYLAND TECHNOLOGY DEVELOPMENT CORPORATION/BUILDER FUND,EMERGENCY MEDICAL INNOVATION LLC,Emergency Medical Innovation Llc,20777,2020,50000,BUILDER FUND COMMERCIALIZATION INVESTMENT,Loan,1,06/30/2020 12:00:00 AM
MARYLAND TECHNOLOGY DEVELOPMENT CORPORATION/BUILDER FUND,PETCONNECT/MAGRUDER PROJECT,Petconnect/magruder Project,20901,2020,50000,BUILDER FUND COMMERCIALIZATION INVESTMENT,Loan,1,06/30/2020 12:00:00 AM
MARYLAND TECHNOLOGY DEVELOPMENT CORPORATION/BUILDER FUND,CARRTECH LLC,Carrtech Llc,21704,2020,50000,BUILDER FUND COMMERCIALIZATION INVESTMENT,Loan,1,06/30/2020 12:00:00 AM
MARYLAND DEPARTMENT OF THE ENVIRONMENT/WATER QUALITY FINANCING ADMINISTRATION (WQFA) DRINKING WATER REVOLVING LOAN FUND,MARYLAND - AMERICAN WATER COMPANY,Maryland - American Water Company,21014,2020,117348,WATER QUALITY FINANCING ADMINISTRATION (WQFA) DRINKING WATER REVOLVING LOAN FUND,Loan,1,06/30/2020 12:00:00 AM
DEPARTMENT OF STATE POLICE/MARYLAND VEHICLE THEFT PREVENTION COUNCIL SPATIAL ANALYSIS & ON-DEMAND SUPPORT,WASHINGTON COLLEGE,Washington College,21620,2020,60000,"A COLLABORATION BETWEEN WASHINGTON COLLEGE, THE MARYLAND VEHICLE THEFT PREVENTION COUNCIL, AND THEIR PARTNER AGENCIES TO COLLECT, ANALYZE, AND MAP DATA TO BETTER UNDERSTAND AND DEVELOP STRATEGIES TO REDUCE VEHICLE THEFT IN MARYLAND.",Grant,1,06/30/2020 12:00:00 AM
BOARD OF PUBLIC WORKS/MISCELLANEOUS GRANTS TO PRIVATE NON-PROFIT GROUPS,MARYLAND ZOO IN BALTIMORE,Maryland Zoo In Baltimore,21217,2021,4949182,FUNDING FOR DAILY OPERATIONS.,Grant,1,06/30/2021 12:00:00 AM
BOARD OF PUBLIC WORKS/MISCELLANEOUS GRANTS TO PRIVATE NON-PROFIT GROUPS,HISTORIC ANNAPOLIS FOUNDATION,Historic Annapolis Foundation,21401,2021,710100,FUNDING FOR DAILY OPERATIONS.,Grant,1,06/30/2021 12:00:00 AM
BOARD OF PUBLIC WORKS/MISCELLANEOUS GRANTS TO PRIVATE NON-PROFIT GROUPS,WESTERN MARYLAND SCENIC RAILROAD,Western Maryland Scenic Railroad,21532,2021,225000,FUNDING FOR DAILY OPERATIONS.,Grant,1,06/30/2021 12:00:00 AM
BOARD OF PUBLIC WORKS/CONTINGENT FUND,KOREAN WAR VETERANS MEMORIAL FUND,Korean War Veterans Memorial Fund,22314,2021,250000,FUNDING SUPPORT FOR WALL OF REMEMBRANCE PROJECT.,Grant,1,06/30/2021 12:00:00 AM
COMPTROLLER OF MARYLAND/REVENUE ADMINISTRATION DIVISION,"CREATING ASSETS, SAVINGS AND HOPE (CASH) CAMPAIGN OF MARYLAND, INC.","Creating Assets, Savings And Hope (cash) Campaign Of Maryland, Inc.",21201,2021,200000,"PROMOTE THE FINANCIAL CAPABILITY OF LOW–INCOME INDIVIDUALS AND FAMILIES BY PROVIDING OUTREACH, EDUCATION, AND FREE TAX PREPARATION SERVICES.",Grant,1,06/30/2021 12:00:00 AM
DEPARTMENT OF AGING/SENIOR ASSISTED LIVING GROUP HOME SUBSIDY,HUMAN RESOURCES DEVELOPMENT COMMISSION OF ALLEGANY COUNTY,Human Resources Development Commission Of Allegany County,21502,2021,94002,"GROUP HOUSING, SENIOR ASSISTED LIVING",Grant,1,06/30/2021 12:00:00 AM
DEPARTMENT OF AGING/SENIOR ASSISTED LIVING GROUP HOME SUBSIDY,"MAC, INC.","Mac, Inc.",20850,2021,284948,"GROUP HOUSING, SENIOR ASSISTED LIVING",Grant,1,06/30/2021 12:00:00 AM
